ลำดับ,ปี,เดือนรอบบิล,เขต/สังกัด,สถานี/หน่วยงาน,หมายเลขผู้ใช้ไฟ,ประเภทสถานี,ค่าไฟฟ้า (บาท/เดือน),จำนวนหน่วย (kWh/เดือน)
108,2566,กุมภาพันธ์,สปข.3,สวท.ฝาง,15279255,สถานี F.M.,"34,302.16","5,816.60"
109,2566,กุมภาพันธ์,สปข.3,สวท.ฝาง,15279255,สถานี F.M.,"34,302.16","5,816.60"
110,2566,กุมภาพันธ์,สปข.3,สวท.น่าน ห้องส่ง,6300578244,สถานี F.M.,"22,645.61","3,775.64"
111,2566,กุมภาพันธ์,สปข.3,สวท.น่าน ห้องส่ง,6300578244,สถานี F.M.,"22,645.61","3,775.64"
112,2566,กุมภาพันธ์,สปข.4,สวท.ตาก,9803 020010392863,สถานี A.M. และ F.M.,"57,429.18","10,217.48"
113,2566,กุมภาพันธ์,สปข.5,สวท.สมุย (กสท.),8598894,สถานี F.M.,"3,749.28",584.00
114,2566,กุมภาพันธ์,สปข.5,สวท.สมุย,020009418577,สถานี F.M.,"10,918.24","1,812.40"
115,2566,กุมภาพันธ์,สปข.3,สวท.น่าน ห้องส่ง,6300578244,สถานี F.M.,"22,645.61","3,775.64"
116,2566,กุมภาพันธ์,สปข.3,สวท.น่าน ห้องส่ง,6300578244,สถานี F.M.,"22,645.61","3,775.64"
117,2566,กุมภาพันธ์,สปข.3,สวท.น่าน เครื่องส่ง,6300578244,สถานี F.M.,"22,645.61","3,775.64"
118,2566,กุมภาพันธ์,สปข.4,สวท.พิษณุโลก,6000548499,สถานี A.M. และ F.M.,"109,842.72","19,589.00"
119,2566,กุมภาพันธ์,สปข.3,สวท.น่าน เครื่องส่ง,6300578244,สถานี F.M.,"22,645.61","3,775.64"
120,2566,กุมภาพันธ์,สปข.3,สวท.น่าน เครื่องส่ง,6300578244,สถานี F.M.,"22,645.61","3,775.64"
121,2566,มกราคม,สปข.5,สปข.5 (สำนักงานเขต),0805020009038251,สำนักประชาสัมพันธ์เขต,"65,442.16","10,769.00"
122,2566,มกราคม,สปข.5,สวศ.สุราษฎร์ธานี,9814 020009099580,สถานี A.M.,"236,528.03","42,780.00"
123,2566,กุมภาพันธ์,สปข.5,สวท.นครศรีธรรมราช,9011020008910024,สถานี F.M.,"29,509.39","4,996.00"
124,2566,กุมภาพันธ์,สปข.3,สวท.แม่สะเรียง ห้องส่ง,27018257,สถานี F.M.,"11,564.11","1,923.00"
125,2566,กุมภาพันธ์,สปข.3,สวท.แม่สะเรียง เครื่องส่ง,27058897,สถานี F.M.,"9,917.30","1,641.00"
126,2566,กุมภาพันธ์,สปข.4,สวท.นครสวรรค์,27708906,สถานี F.M.,"16,596.32","4,314.06"
127,2566,กุมภาพันธ์,สปข.3,อาคารส่วนเทคนิค,9070020004491756,อื่น ๆ,"4,150.43",653.50
128,2566,กุมภาพันธ์,สปข.3,สทท.เชียงใหม่ และ สปข.3,9820020004481266,สำนักประชาสัมพันธ์เขตและ T.V.,"205,172.86","33,286.67"
129,2566,กุมภาพันธ์,สปข.3,สวท.เชียงใหม่,9321020004478528,สถานี F.M.,"27,849.80","4,479.33"
130,2566,กุมภาพันธ์,สปข.3,สวท.เชียงราย,9813020005934803,สถานี F.M.,"16,019.99","2,686.01"
131,2566,กุมภาพันธ์,สปข.3,สวท.ลำพูน,9816020004565451,สถานี F.M.,"33,309.26","5,870.00"
132,2566,กุมภาพันธ์,สปข.3,สวท.ลำปาง,9103020005125126,สถานี F.M.,"21,988.24","3,708.00"
133,2566,กุมภาพันธ์,สปข.3,สวท.แพร่,9802020010258747,สถานี F.M.,"14,663.32","2,453.70"
134,2566,กุมภาพันธ์,สปข.3,สวท.น่าน ห้องส่ง,90040200094970249,อื่น ๆ,"22,645.61","3,775.64"
135,2566,กุมภาพันธ์,สปข.3,สวท.น่าน เครื่องส่ง,9810020009531604,สถานีเครื่องส่งวิทยุ,"1,241.82",87.72
136,2566,กุมภาพันธ์,สปข.3,สวท.น่าน โรงสูบน้ำ,0116020009699672,อื่น ๆ,189.63,30.00
137,2566,กุมภาพันธ์,สปข.3,สวท.พะเยา,0046020005688352,สถานี F.M.,"25,352.00","4,284.00"
138,2566,กุมภาพันธ์,สปข.3,สวท.แม่ฮ่องสอน,9801 020005117860,สถานี F.M.,"12,898.53","2,151.50"
139,2566,กุมภาพันธ์,สปข.3,สวท.น่าน เครื่องส่ง,9039020005015968,อื่น ๆ,"11,564.11","1,923.00"
140,2566,กุมภาพันธ์,สปข.3,สวท.แม่สะเรียง เครื่องส่ง,9036020005002855,สถานี F.M.,"9,917.30","1,641.00"
141,2566,กุมภาพันธ์,สปข.3,สวท.ฝาง,9303020005427433,สถานี F.M.,"34,302.16","5,816.60"
142,2566,กุมภาพันธ์,สปข.3,สวศ.ลำปาง,9817020005263217,สถานี A.M.,"408,280.76","73,589.00"
143,2566,กุมภาพันธ์,สปข.3,สวศ. แม่ฮ่องสอน ห้องส่ง,9074020005115018,สถานี A.M.,"1,046.55",122.00
144,2566,กุมภาพันธ์,สปข.3,สวท.แม่สะเรียง เครื่องส่ง,9806020005061044,สถานีเครื่องส่งวิทยุ,334.10,0.00
145,2566,กุมภาพันธ์,สปข.3,สคท.เชียงใหม่,9327020004499744,สถานี T.V.,"69,005.94","12,652.08"
146,2566,กุมภาพันธ์,สปข.3,สคท.เชียงราย,9825020005862041,สถานี T.V.,"58,316.77","9,928.80"
147,2566,กุมภาพันธ์,สปข.3,สคท.ลำปาง,9806020004897059,สถานี T.V.,"20,576.17","3,466.20"
148,2566,กุมภาพันธ์,สปข.3,สคท.แพร่,9804 020009635050,สถานี T.V.,"41,653.92","7,075.50"
149,2566,กุมภาพันธ์,สปข.3,สคท.น่าน,9811020009589272,สถานี T.V.,"50,936.35","8,665.00"
150,2566,กุมภาพันธ์,สปข.3,สคท.แม่ฮ่องสอน ห้วยนางปุ๊,9805020005171674,สถานี T.V.,"57,997.97","9,874.21"
151,2566,กุมภาพันธ์,สปข.3,สคท.แม่ฮ่องสอน ดอยกองมู,0006020004663073,สถานี T.V.,"13,380.31","2,234.00"
152,2566,กุมภาพันธ์,สปข.5,สคท.ตะกั่วป่า,29229069,สถานี F.M.,"9,981.53","1,652.00"
153,2566,กุมภาพันธ์,สปข.4,สวท.แม่สอด F.M.,6000172855,สถานี T.V. และสถานี F.M.,"87,944.00","15,888.32"
154,2566,กุมภาพันธ์,สปข.5,สวท.ตะกั่วป่า,27696482,สถานี F.M.,"11,639.46","1,935.90"
155,2566,มกราคม,สปข.1,สวท.กาฬสินธ์,27680313,สถานี F.M.,"26,124.03","4,416.20"
156,2566,มกราคม,สปข.1,สคว.ขอนแก่น (บ้านสำราญ),23053656,สถานีเครื่องส่งวิทยุ,"13,165.40","2,197.20"
157,2566,มกราคม,สปข.1,สวศ.ขอนแก่น,6101485007,สถานี A.M.,"332,484.72","58,855.00"
158,2566,มกราคม,สปข.1,สคท.ชัยภูมิ (ช่อง 11),23070145,สถานีเครื่องส่ง T.V.,"27,680.34","4,682.70"
159,2566,มกราคม,สปข.1,สวท.ชัยภูมิ,9045380,สถานี F.M.,"47,432.45","8,065.00"
160,2566,มกราคม,สปข.1,สคท.ชุมแพ (ขอนแก่น),15278596,สถานีเครื่องส่ง T.V.,"17,268.48","2,899.80"
161,2566,มกราคม,สปข.1,สวท.ด่านซ้าย (เลย),27707529,สถานี A.M.,"47,107.23","8,009.31"
162,2566,มกราคม,สปข.1,สคท.นครราชสีมา,5701547600,สถานีเครื่องส่ง T.V.,"1,464.10",193.50
163,2566,มกราคม,สปข.1,สวท.นครราชสีมา,23047663,สถานี A.M. และ F.M.,"95,861.87","17,222.01"
164,2566,มกราคม,สปข.1,สวท.บึงกาฬ,27687593,สถานี F.M.,"24,160.62","4,079.99"
165,2566,มกราคม,สปข.1,สวท.มหาสารคาม,5800085384,สถานี F.M.,"11,553.03","1,921.10"
166,2566,มกราคม,สปข.1,สวท.มหาสารคาม (หนองจิก),6400038861,สถานีเครื่องส่งวิทยุ,"26,066.79","4,406.40"
167,2566,มกราคม,สปข.1,สคท.เลย (อ.ภูเรือ)	,6101485943,สถานีเครื่องส่งวิทยุ,"24,537.34","4,144.50"
168,2566,มกราคม,สปข.1,สวท.เลย,27683400,สถานี A.M. และ F.M.,"13,520.41","2,257.99"
169,2566,มกราคม,สปข.1,สวท.เลย (บ.กำเนิดเพชร),27683401,สถานี A.M.,"100,928.31","18,841.12"
170,2566,มกราคม,สปข.1,สวท.เลย (ภูเรือ),28339328,สถานีเครื่องส่งวิทยุ,"14,974.59","2,507.00"
171,2566,มกราคม,สปข.1,สคท.สกลนคร (ช่อง 11),23048602,สถานีเครื่องส่ง T.V.,"43,858.48","7,453.00"
172,2566,มกราคม,สปข.1,สวท.สกลนคร,28071002,สถานีเครื่องส่งวิทยุ,"8,469.92","1,358.00"
173,2566,มกราคม,สปข.1,สวท.สกลนคร,20015372371,สถานี F.M.,"16,265.21","2,728.00"
174,2566,มกราคม,สปข.1,สคท.บึงกาฬ,27688555,สถานีเครื่องส่ง T.V.,"13,170.66","2,198.10"
175,2566,มกราคม,สปข.1,สวท.หนองคาย,9045557,สถานี F.M.,"10,279.36","1,703.00"
176,2566,มกราคม,สปข.1,สวท.หนองคาย,23074006,สถานี A.M.,"108,902.06","19,689.26"
177,2566,มกราคม,สปข.1,สวท.หนองบัวลำภู,27679759,สถานี F.M.,"63,267.21","10,776.50"
178,2566,มกราคม,สปข.1,สคท.อุดรธานี (อ.เพ็ญ),23072200,สถานีเครื่องส่ง T.V.,"2,634.40",393.90
179,2566,มกราคม,สปข.1,สวท.อุดรธานี,23068242,สถานี F.M.,"29,045.05","4,916.39"
180,2566,มกราคม,สปข.1,สวท.อุดรธานี (บ้านดุง),20016297135,สถานีเครื่องส่ง VOA,"344,121.23","64,601.28"
181,2566,มกราคม,สปข.1,สคท.นครราชสีมา (สนง.),27075840,สถานีเครื่องส่ง T.V.,"35,311.85","5,989.50"
182,2566,มกราคม,สปข.1,สวท.ขอนแก่น,5701543473,สถานี F.M.,"21,791.45","3,609.57"
183,2566,มกราคม,สปข.1,สวท.ขอนแก่น,27705124,บ้านพักข้าราชการ,"3,070.00",468.49
184,2566,มกราคม,สปข.1,สทท.ขอนแก่น,23053657,สถานี T.V.,"200,807.70","34,694.00"
185,2566,กุมภาพันธ์,สปข.6,สปข.6 (สำนักงานเขต),20008051344,สำนักประชาสัมพันธ์เขต,"28,990.22","4,907.90"
186,2566,กุมภาพันธ์,สปข.6,สวท.สงขลา,20008048385,สถานี A.M.,"35,219.01","5,973.60"
187,2566,กุมภาพันธ์,สปข.6,สวท.พัทลุง,20007247271,สถานี F.M.,"33,594.36","5,695.40"
188,2566,กุมภาพันธ์,สปข.6,สวท.ตรัง,20009332317,สถานี A.M.,"47,754.10","8,298.90"
189,2566,กุมภาพันธ์,สปข.6,สคท.สตูล,20007712572,สถานี T.V.,"40,891.83","6,945.00"
190,2566,กุมภาพันธ์,สปข.6,สวท.สตูล,20007755946,สถานี F.M.,"12,527.70","2,088.00"
191,2566,กุมภาพันธ์,สปข.6,สวท.ยะลา,20007137816,สถานี A.M.,"44,099.81","7,599.96"
192,2566,กุมภาพันธ์,สปข.6,สวท.ยะลา,20007124946,สถานี A.M.,"65,395.83","11,141.00"
193,2566,กุมภาพันธ์,สปข.6,สวท.ปัตตานี,20007560268,สถานี F.M.,"31,212.86","5,287.60"
194,2566,กุมภาพันธ์,สปข.6,สวท.นราธิวาส,20007953220,สถานี F.M.,"91,204.52","16,450.08"
195,2566,กุมภาพันธ์,สปข.6,สวท.สุไหงโกลก,20007958072,สถานี F.M.,"44,093.80","7,493.30"
196,2566,กุมภาพันธ์,สปข.6,สวท.เบตง,20007939927,สถานี F.M.,"13,806.62","2,307.00"
197,2566,กุมภาพันธ์,สปข.6,สวท.เบตง,20007960221,สถานี F.M.,"15,955.69","2,675.00"
198,2566,กุมภาพันธ์,สปข.6,สคท.เขาคอหงส์,20007197687,สถานี T.V.,"103,596.15","19,104.00"
199,2566,กุมภาพันธ์,สปข.6,สคท.เขาคอหงส์,20007555238,สถานี T.V.,"3,084.65",471.00
200,2566,กุมภาพันธ์,สปข.6,สทท.สงขลา,20008051409,สถานี T.V.,"139,667.98","22,591.99"
201,2566,กุมภาพันธ์,สปข.6,สทท.ตรัง,20008213409,สถานี T.V.,"6,354.99","1,031.00"
202,2566,กุมภาพันธ์,สปข.6,สทท.ตรัง,20007998474,สถานี T.V.,"67,945.44","10,882.17"
203,2566,กุมภาพันธ์,สปข.6,สคท.ปกโย๊ะ,20007590855,สถานี T.V.,"92,822.86","16,998.50"
204,2566,กุมภาพันธ์,สปข.6,สทท.ตรัง,20020048115,สถานี T.V.,"21,813.06","3,678.00"
205,2566,กุมภาพันธ์,สปข.6,ดิจิตอลทีวี นาทวี,20021244466,สถานี T.V.,"65,679.40","18,801.03"
206,2566,กุมภาพันธ์,สปข.6,ดิจิตอลทีวี เทพา,20021424143,สถานี T.V.,"70,607.89","12,033.50"
207,2566,กุมภาพันธ์,สปข.6,สคท.ปกโย๊ะ,20021695744,สถานี T.V.,"15,681.22","2,628.00"
208,2566,มกราคม,สปข.4,สปข.4 (สำนักงานเขต),6300409812,สำนักประชาสัมพันธ์เขต,"29,859.63","5,040.75"
209,2566,กุมภาพันธ์,สปข.4,สวท.กำแพงเพชร,9089 020009497880,สถานี F.M.,"24,391.35","4,119.50"
210,2566,กุมภาพันธ์,สปข.8,สปข.8 (สำนักงานเขต),23050191,สำนักประชาสัมพันธ์เขต,"137,043.34","21,827.01"
211,2566,กุมภาพันธ์,สปข.8,สคท.กาญจนบุรี,24409713,สถานี T.V.,"33,649.25","5,704.80"
212,2566,กุมภาพันธ์,สปข.8,สคท.ทองผาภูมิ,6201223474,สถานี T.V.,"31,601.22","5,354.10"
213,2566,กุมภาพันธ์,สปข.8,สวท.ชัยนาท-อาคารห้องส่ง,27709281,สถานี F.M.,"12,608.87","2,010.90"
214,2566,กุมภาพันธ์,สปข.8,สวท.ชัยนาท-อาคารเครื่องส่ง,29159301,สถานี F.M.,"54,668.02","9,304.00"
